,Road_ID,Length,Number_of_Bends,Traffic_Volume,Accident_Risk
0,1,202,4,912,0
1,2,448,25,164,0
2,3,370,14,956,0
3,4,206,9,938,0
4,5,171,26,620,1
5,6,288,2,443,1
6,7,120,20,228,1
7,8,202,28,747,0
8,9,221,47,571,0
9,10,314,7,162,0
10,11,430,44,238,1
11,12,187,8,598,0
12,13,472,47,692,0
13,14,199,35,491,1
14,15,459,14,774,0
15,16,251,17,518,1
16,17,230,36,388,1
17,18,249,40,478,1
18,19,408,4,872,0
19,20,357,2,589,0
20,21,443,6,330,0
21,22,393,42,140,0
22,23,485,4,127,0
23,24,291,29,234,0
24,25,376,18,300,0
25,26,260,26,939,1
26,27,413,44,879,0
27,28,121,34,132,1
28,29,352,10,147,0
29,30,335,36,602,0
30,31,444,14,506,0
31,32,148,31,673,1
32,33,158,48,827,1
33,34,269,15,904,1
34,35,287,8,198,1
35,36,370,14,783,0
36,37,289,23,971,1
37,38,274,40,825,0
38,39,150,21,646,0
39,40,463,16,838,1
40,41,154,45,712,1
41,42,343,18,561,1
42,43,419,47,742,1
43,44,230,24,868,1
44,45,406,26,104,1
45,46,234,25,317,1
46,47,120,45,602,1
47,48,428,41,866,0
48,49,266,29,497,1
49,50,373,15,970,1
